Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Furnishing,SizeType,SizeValue
40,1.25,1.5,3,2,79,0,0,1335
23,6.8,3,7,0,44,1,1,6900
27,1.03,3,4,2,56,1,0,1875
14,0.9,2.5,3,2,56,1,0,1513
82,5.35,3,5,4,44,1,1,7200
82,2.6,3,4,4,73,1,1,3600
71,0.385,3,2,1,40,1,0,904
82,1.7,2,3,0,12,1,1,1900
82,4.58,3.5,5,5,48,1,1,6000
82,3.1,2.5,3,0,77,1,1,3600
17,9,3.5,7,4,45,1,1,8500
23,4.5,3,7,0,45,1,0,4842
50,1.78,2.5,4,2,56,1,0,1830
50,3.45,2.5,6,3,56,0,0,3720
25,1.5,2.5,4,2,56,1,0,1798
23,1.55,3,1,1,83,0,0,904
50,1.5,2,4,3,55,0,0,2163
50,1.45,2,4,0,55,0,0,2163
9,0.49,3,1,1,79,0,0,520
14,0.61,2,2,2,59,1,0,1236
27,1.03588,2,4,1,58,1,0,1876
50,1.83,3,4,0,59,1,0,1668
3,3.3,2.5,4,4,55,2,0,3536
3,0.46,3,1,1,79,0,0,613
40,2.4,3,2,1,79,0,0,1006
50,2.29071,2.5,4,0,55,2,0,2767
50,2.28462,3,4,0,55,2,0,2702
32,1.438,2.5,4,3,56,1,0,2378
50,1.72,2.5,6,3,56,1,0,2020
40,3.6,3,4,0,80,1,0,3897
40,4.28,2,4,2,80,0,0,2195
40,2.3,3,2,1,79,1,0,1023
23,4.2,3,5,5,44,1,1,5274
40,2.7,2,4,3,80,0,0,3095
50,1.08,3,2,1,79,0,0,896
50,1.15,3,2,2,56,1,0,1200
14,1.07,2.5,4,4,58,1,0,1772
14,0.93,3,3,2,58,1,0,1513
9,0.78,3,2,1,80,1,0,880
40,4.098,2,3,2,83,1,0,2066
37,1.8,3,2,1,81,0,0,1244
50,3.6,3,6,0,56,0,0,4090
50,2.3,2.5,5,2,56,1,0,2702
40,4,2,3,2,59,0,0,2250
3,4.8,3,6,3,55,1,0,4300
3,3.78,2.5,5,4,56,1,0,3628
9,0.85,1.5,2,1,79,0,0,1050
50,1.85,2,4,0,55,1,0,2347
40,1.6988,3,2,1,83,0,0,1227
72,0.999,2.5,4,2,23,1,0,2512
39,3.5,3,1,1,79,1,0,1648
40,1.5,3,2,1,80,0,0,1022
40,2.3,3,2,1,83,1,0,1023
50,1.83,2,4,2,56,1,0,1830
67,0.58,2.5,2,2,56,1,0,1550
40,3,2,3,3,79,2,0,2066
50,2.18,2.5,4,3,56,1,0,3000
40,2.03,2,5,2,55,0,0,2356
50,3.45,2.5,6,3,55,0,0,3720
20,4.08,2.5,5,2,56,1,0,3713
82,2.88,2.5,3,4,9,1,1,4244
40,1.799,3,1,1,79,0,0,720
40,1.82,1.5,2,2,56,0,0,1159
40,1,2,3,2,80,1,0,1313
40,1.65,2,5,2,56,0,0,1905
40,2.3,3,1,2,79,1,0,1023
50,2.4,2.5,5,3,55,1,1,2702
40,2.055,1,1,1,83,1,0,797
40,1.714,3,1,1,83,1,0,700
14,0.62,3,2,0,59,1,0,1232
14,1.72,3.5,7,0,17,2,1,3033
40,2.3,2,4,3,80,1,0,3282
14,0.92,2.5,3,2,55,1,0,1513
40,2.3,3,1,2,83,1,0,1046
82,4.995,3,7,6,44,1,1,8113
50,1.85,2.5,4,2,55,1,0,1830
40,1.783,3,2,1,55,1,0,976
27,1.18,2,4,1,59,1,0,1942
14,0.9,2.5,3,2,56,1,0,1513
20,1.7,1.5,2,1,83,0,0,1442
40,0.85,3,2,0,79,0,0,761
23,6.8,3.5,7,0,44,2,1,7000
50,3.1,2.5,6,3,56,0,0,3400
14,0.63,3,2,2,79,1,0,791
40,1.78,3,1,1,80,0,0,728
25,2.85,2,3,0,23,1,0,3211
25,1.05,1.5,2,2,55,1,0,1389
50,2.6,2.5,4,3,55,1,0,3041
9,0.63,1,1,1,79,1,0,663
40,3.364,1.5,2,2,79,0,0,1399
14,0.978,2.5,3,2,55,1,0,1513
40,3.6,2,5,2,80,1,0,3897
40,3.6,2,5,2,80,1,0,3897
40,2,3,1,1,79,0,0,1087
50,1.63,2.5,4,2,55,1,0,2065
40,1.25,3,2,1,55,1,0,736
9,0.63,1,1,1,79,0,0,650
40,1.35,3,2,1,79,0,0,1050
9,0.49,3,1,1,83,0,0,500
9,0.8,3,2,1,80,1,0,825
25,1.98,2,4,0,8,1,0,2200
