Location Indicator,Location,Price,Rooms,Bathrooms,Car Parks,Property Type Indicator,Property Type,Furnishing Indicator,Furnishing,SizeType Indicator,SizeType,SizeValue
40,KLCC,1250000,1.5,3,2,79,Serviced Residence,0,Fully Furnished,0,Built-up,1335
23,Damansara Heights,6800000,3,7,0,44,Bungalow,1,Partly Furnished,1,Land area,6900
27,Dutamas,1030000,3,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1875
14,Bukit Jalil,900000,2.5,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1513
82,Taman Tun Dr Ismail,5350000,3,5,4,44,Bungalow,1,Partly Furnished,1,Land area,7200
82,Taman Tun Dr Ismail,2600000,3,4,4,73,Semi-detached House,1,Partly Furnished,1,Land area,3600
71,Sri Petaling,385000,3,2,1,40,Apartment (Intermediate),1,Partly Furnished,0,Built-up,904
82,Taman Tun Dr Ismail,1700000,2,3,0,12,2-sty Terrace/Link House (Intermediate),1,Partly Furnished,1,Land area,1900
82,Taman Tun Dr Ismail,4580000,3.5,5,5,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,6000
82,Taman Tun Dr Ismail,3100000,2.5,3,0,77,Semi-detached House (Intermediate),1,Partly Furnished,1,Land area,3600
17,Bukit Tunku (Kenny Hills),9000000,3.5,7,4,45,Bungalow (Corner),1,Partly Furnished,1,Land area,8500
23,Damansara Heights,4500000,3,7,0,45,Bungalow (Corner),1,Partly Furnished,0,Built-up,4842
50,Mont Kiara,1780000,2.5,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1830
50,Mont Kiara,3450000,2.5,6,3,56,Condominium (Corner),0,Fully Furnished,0,Built-up,3720
25,Desa ParkCity,1500000,2.5,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1798
23,Damansara Heights,1550000,3,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,904
50,Mont Kiara,1500000,2,4,3,55,Condominium,0,Fully Furnished,0,Built-up,2163
50,Mont Kiara,1450000,2,4,0,55,Condominium,0,Fully Furnished,0,Built-up,2163
9,Bangsar South,490000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,520
14,Bukit Jalil,610000,2,2,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1236
27,Dutamas,1035880,2,4,1,58,Condominium (EndLot),1,Partly Furnished,0,Built-up,1876
50,Mont Kiara,1830000,3,4,0,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1668
3,Ampang Hilir,3300000,2.5,4,4,55,Condominium,2,Unfurnished,0,Built-up,3536
3,Ampang Hilir,460000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,613
40,KLCC,2400000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1006
50,Mont Kiara,2290710,2.5,4,0,55,Condominium,2,Unfurnished,0,Built-up,2767
50,Mont Kiara,2284620,3,4,0,55,Condominium,2,Unfurnished,0,Built-up,2702
32,Jalan Klang Lama (Old Klang Road),1438000,2.5,4,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2378
50,Mont Kiara,1720000,2.5,6,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2020
40,KLCC,3600000,3,4,0,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3897
40,KLCC,4280000,2,4,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,2195
40,KLCC,2300000,3,2,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,1023
23,Damansara Heights,4200000,3,5,5,44,Bungalow,1,Partly Furnished,1,Land area,5274
40,KLCC,2700000,2,4,3,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,3095
50,Mont Kiara,1080000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,896
50,Mont Kiara,1150000,3,2,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1200
14,Bukit Jalil,1070000,2.5,4,4,58,Condominium (EndLot),1,Partly Furnished,0,Built-up,1772
14,Bukit Jalil,930000,3,3,2,58,Condominium (EndLot),1,Partly Furnished,0,Built-up,1513
9,Bangsar South,780000,3,2,1,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,880
40,KLCC,4098000,2,3,2,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,2066
37,KL City,1800000,3,2,1,81,Serviced Residence (Duplex),0,Fully Furnished,0,Built-up,1244
50,Mont Kiara,3600000,3,6,0,56,Condominium (Corner),0,Fully Furnished,0,Built-up,4090
